Название,Жанр,Режиссёр,Страна,Год
22 минуты,боевик,Василий Сериков,Россия,2014
22 мили,"боевик,триллер",Питер Берг,США,2018
22 июля,Драма,Пол Гринграсс,США,2018
21 ночь с Патти,комедия,"Арно Ларье,Жан-Мари Ларье",Франция,2015
21 мост,"драма,триллер,детектив",Брайан Кирк,,2019
21 и больше,комедия,"Джон Лукас,Скотт Мур",США,2013
21 грамм,Драма,Алехандро Гонсалес Иньярриту,США,2003
20 тысяч разновидностей пчёл,"драматический фильм,[d]",Эстибалис Урресола Солагурен,,"2023,11 января,2024"
20 сигарет,"драма,комедия",Александр Горновский,Россия,2007
20 сантиметров,"комедия,мюзикл",Рамон Саласар,"Испания,Франция",2005
20 миллионов миль до Земли,"научно-фантастический фильм,фильм о монстрах,фильм-катастрофа,приключенческий фильм,фэнтезийный фильм,фильм ужасов",Натан Юран,,1957
20 дней в Мариуполе,"документальный фильм,военный фильм",Мстислав Чернов,Украина,"Российско-украинская война (c 2014),Война в Донбассе (2014—2022),Российско-украинский кризис (2021—2022)"
20-е декабря,исторический фильм,Григорий Никулин,СССР,1981
20 000 лье под водой,"криминальный фильм,драма,триллер",Род Харди,США,1997
20 000 лье под водой,"драма,стимпанк,приключенческий фильм",Ричард Флейшер,США,1954
20 000 лье под водой,фантастика,Стюарт Патон,США,1916
20 000 лет в Синг-Синге,Криминальная мелодрама,Майкл Кёртис,США,1932
20 000 дней на Земле,"документальный,музыкальный","Айан Форсайт,Джейн Поллард",Великобритания,2014
18-летняя девственница,комедия,Тамара Олсон,,2008
18-14,"исторический,детектив,приключение",Андрес Пуустусмаа,Россия,2007
18 мая,"боевик,драма,военный,история",[en],Республика Корея,2007
18 бронзовых бойцов,"боевик,драма",[en],"Гонконг,Китайская Республика",
18 килогерц,драма,Фархат Шарипов,,2021
17 девушек,драма,"Дельфин Кулин,Мюриэль Кулин",Франция,2011
«16 кварталов»,"криминальный фильм,драма,триллер",Ричард Доннер,США,2006
16 желаний,"подростковая,фэнтезийная комедия",Питер Делуиз,"США,США,Канада,Австралия,Германия,Австрия,Испания,Мексика,Чили,Аргентина,Венесуэла,Боливия,Перу,Колумбия,Панама,Бразилия,Италия,Япония,Израиль,Филиппины,Индонезия,Малайзия,Сингапур,Таиланд,Вьетнам,Великобритания,Нидерланды,Бельгия,Польша,Украина,Румыния,Чехия,Словакия,Венгрия,Россия,Казахстан,ЮАР,Греция,Франция,Турция,Сербия","25 июня,2010"
15 минут славы,"Криминальная драма,боевик",Джон Херцфелд,США,2001
15 августа,комедия,Патрик Алессандрен,Франция,2001
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023
14+,мелодрама,Андрей Зайцев,Россия,2015
14 клинков,"боевик,триллер",Дэниел Ли,"Гонконг,Китай",2010
14 июля,комедия,Рене Клер,Франция,1933
14 амазонок,"приключенческий фильм,драма,военный фильм","Чэн Ган,Дун Шаоюн",Гонконг,1972
13-я жертва,ужасы,[en],США,2008
13-й участок,"криминальный фильм,драма,экранизация",Мартин Фрич,,1946
13-й район: Ультиматум,боевик," (, ,Patrick Alessandrin,)",Франция,2009
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"Франция,Канада",2014
13-й район,"антиутопия,боевик",Пьер Морель,Франция,2004
13-й знак,Ужасы,"Джонти Эктон,Адам Мэйсон",Великобритания,2000
13 часов: Тайные солдаты Бенгази,"военный,драма,триллер",Майкл Бэй,США,2016
Тринадцатый апостол,фантастический фильм,Сурен Бабаян,СССР,1988
13 убийц,боевик,Такаси Миикэ,Япония,2010
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938
13 призраков,фильм ужасов,Уильям Касл,США,1960
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,,2022
12 стульев,телеспектакль,Александр Белинский,СССР,1966
13 дней во Франции,"документальный фильм,спортивный фильм",Жиль Ги,Франция,1968
13 грехов,"триллер,фильм ужасов",Даниэль Штамм,США,2014
12 стульев,комедия,Леонид Гайдай,СССР,"1971,На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди"
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния,2006
12 раундов: Перезагрузка,"боевик,триллер",Роэль Рейн,США,
12 раундов,"боевик,триллер,криминал",Ренни Харлин,США,2009
12 разгневанных мужчин,драма,Сидни Люмет,,1957
12 обезьян,"фантастика,триллер,драма,антиутопия",Терри Гиллиам,США,1995
12 стульев,"комедия,мюзикл,мелодрама",Марк Захаров,,
12 месяцев. Новая сказка,"фильм-сказка,комедия,мелодрама,семейный фильм",Денис Елеонский,,"19 февраля,2015"
12 могил Ходжи Насреддина,"комедия,сказка",Климентий Минц,СССР,1966
12 разгневанных мужчин,[d],Уильям Фридкин,,
12 месяцев,комедия,Александр Баршак,Россия,2013
12 лет рабства,"историческая,драма",Стив Маккуин,США,2013
«12»,"психологический,триллер,юридический,детектив,драма,артхаус",Никита Михалков,Россия,2007
12 дней террора,"ужасы,триллер,драма",Джек Шолдер,ЮАР,2004
11.6,"драма,Саундтрек",Филипп Годо,Франция,2013
11:14,"Триллер,детективный фильм,криминал,чёрная комедия",Грег Маркс,"США,Канада",2003
11 сентября,"драма,исторический,киноальманах","Самира Махмальбаф,Клод Лелуш,Юсеф Шахин,Данис Танович,Идрисса Одрраого,Кен Лоуч,Алехандро Гонсалес Инарриту,Амос Гитай,Мира Наир,Шон Пенн,Сёхэй Имамура","США,Иран,Франция,Израиль,Буркина-Фасо,Индия,Япония,Босния и Герцеговина,Египет,Мексика,Великобритания",2002
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,,"1 ноября,2011"
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006
10 причин моей ненависти,романтическая комедия,Джил Джангер,США,1999
10 миль в час,Документальное кино,"Хантер Уикс, , , (",США,2007
10 на 10,триллер,Сьюзи Юинг,Великобритания,2018
10 лет спустя,"драма,романтическая комедия",Джеми Линден,США,2011
«10 000 лет до нашей эры»,приключенческий боевик,Роланд Эммерих,"США,ЮАР",2008
9/11,"драма,фильм-катастрофа",Мартин Гиги,США,2017
9 смертей ниндзя,боевик,Эмметт Олстон,США,1985
9 песен,"драма,мелодрама,музыкальный фильм,эротика","Майкл Уинтерботтом,[1],[2],[…]",Великобритания,2004
9 рота,"военно,исторический,боевик,драма",Фёдор Бондарчук,"Россия,Украина","Полторы комнаты, или Сентиментальное путешествие на родину"
9 месяцев строгого режима,комедия,Альбер Дюпонтель,Франция,2013
9 мёртвых геев,"драма,комедия",Лаб Ки Мо,Великобритания,2002
9 мая. Личное отношение,Телеальманах,"Авдотья Смирнова,Александр Котт,Владимир Котт,Евгений Лаврентьев,Карен Оганесян,Максим Пежемский,Егор Кончаловский,Василий Чигинский",Россия,
9 душ,фильм-драма,Тосиаки Тоёда,Япония,2003
9 апреля,"Военный, драма",Рони Эзра,,2015
8-битное Рождество,комедия,Майкл Даус,США,2021
8 свиданий,Романтическая кинокомедия,"Перис Романо, Родриго Сорогойен",Испания,2008
8 подруг Оушена,"кинокомедия,криминальный фильм",Гэри Росс,,2018
8 миллиметров,"триллер,криминал",Джоэл Шумахер,,1999
8 лучших свиданий,"комедия,мелодрама",Марюс Вайсберг,"Россия,Украина",2016
8 первых свиданий,комедия,"Дэвид Додсон,Александр Маляревский","Россия,Украина",2012
8 женщин,"мюзикл,комедия,детектив",Франсуа Озон,"Франция,Италия",Робер Тома
8 ½ $,комедийный фильм,Григорий Константинопольский,Россия,1999
7:35 утра,"короткометражный,музыкальный",Начо Вигалондо,,"21 ноября,2003,12 марта,2004,17 мая,2009,29 октября,2010"
007: Спектр,шпионский фильм,Сэм Мендес,"Великобритания,США",2015
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,"Великобритания,США",
7 ящиков,"триллер,криминал","Хуан Карлос Манелья,Тана Шембори",Парагвай,2012
Ноль-седьмой меняет курс,"боевик,драма",Владимир Потапов,Россия,2007
7 секунд,боевик,Саймон Феллоуз,,"28 июня,2005,12 сентября,2005"
7 женщин,драма,Джон Форд,США,1966
7 дней и ночей с Мэрилин,"драма,биография","Саймон Кёртис, , , (",Великобритания,2011
7 дней до смерти,"драма,фильм ужасов,триллер",Себастьян Ниман,"США,Германия,Чехия",2000
7 главных желаний,"комедия,мелодрама",Вадим Соколовский,Россия,
6-й день,киберпанк,Роджер Споттисвуд,США,2000
6 дней,"боевик,триллер",Тоа Фрейзер,"Великобритания,Новая Зеландия",2017
5×2,"мелодрама,драма",Франсуа Озон,Франция,2004
5-я волна,"постапокалиптика,научная фантастика",Дж. Блэйксон,США,2016
5 терапия,"драма,триллер,биография",Алиса Павловская,Украина,2017
5 причин не влюбиться в казаха,комедийный фильм,Аскар Узабаев,Казахстан,2017
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди","Израиль,ПНА,Франция,Нидерланды",2011
5 неизвестных...,триллер,Симон Бранд,США,2006
5 недель,трагикомедия,Александр Андреев,Россия,2021
4.3.2.1,"триллер,электро-хаус,соул,R’n’B,хип-хоп,грайм",Ноэль Кларк,Великобритания,2010
4:44. Последний день на Земле,"драма,фантастика",Абель Феррара,США,2011
2-Асса-2,драма,Сергей Соловьёв,Россия,2008
2 Girls 1 Cup,"порнофильм,[d]",Марко Фиорито,,"5 января,2007"
2 секунды,комедия,Манон Брайан,Канада,1998
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977
5 дней в августе,"военный,боевик",Ренни Харлин,"США,Грузия,Великобритания,Австралия,США,Канада,Россия,Япония,Бельгия,Эстония,Финляндия",2011
2 дня в Париже,"комедия,драма,мелодрама",Жюли Дельпи,"Франция,Германия",2007
01-99,комедия,Амасий Мартиросян,СССР,1959
1 миля до тебя,"драма,мелодрама",Лейф Тильден,США,2017
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,
1 Night in China,порнофильм,"Шон Уолтман,Чайна",,2004
1+1,"комедийная драма,бадди-муви","Оливье Накаш,[2],Эрик Толедано,[2]",Франция,
1%,криминальный,Стив МакКаллум,Австралия,2017
1,документальный,Пол Краудер,США,2013
0-41*,"документальный,драма,комедия",Сенна Хегде,Индия,2016
,,,,
Чудотворец из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958
...а пятый всадник – Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965
(Не)идеальные роботы,"комедия,фантастика,мелодрамма","Энтони Хайнс,Каспер Кристенсен",США,2023
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972
«SOS» над тайгой,"драма,приключения",",,  Валентин Перов",СССР,1976
?,"драматический фильм,[1]",Ханун Брамантйо,,"7 апреля,2011"
,,,,
"Агирре, гнев Божий","драма,приключения",Вернер Херцог,,ФРГ
Агония,"исторический фильм,драма",Элем Климов,СССР,
Агнесса Божья,"драма,триллер",Норман Джуисон,США,1985
Агнец,"драма,фолк-хоррор",Вальдимар Йоханнссон,,2021
Агора,"биография,драма,приключения,история,пеплум,[1]",Алехандро Аменабар,"Испания,Мальта,Португалия,Франция,США",2009
Агитбригада «Бей врага!»,"комедия,драма",Виталий Мельников,Россия,2007
Агенты Сокол и Снеговик,"драма,триллер",Джон Шлезингер,"Великобритания,США",1985
Агенты КГБ тоже влюбляются,комедия положений,Себастьян Аларкон,,1991
Агенты казначейства,нуар,Энтони Манн,,1947
Агенты А.Н.К.Л.,Комедийный боевик,Гай Ричи,США,2015
Агент по кличке Спот,"боевик,комедия",Джон Уайтселл,США,2001
Агент-невидимка,"фильм ужасов,фантастический фильм",Эдвин Л. Марин,США,1942
Агент секретной службы,"детектив,шпионский,драма",Ион Скутельник,СССР,1978
Агент под прикрытием,"криминальный,комедийный боевик",Том Воган,США,
Акулий торнадо,"фильм-катастрофа,ужасы,фантастика,трэш,комедия",Энтони Ферранте,,2013
Алая Роза,комедия,Марчелло Пальеро,Франция,1951
Алая камелия,криминальная драма,Ёситаро Номура,Япония,
Алая женщина,комедия,Жан Валер,"Франция,Италия",1969
Алая буква,Драма,Пён Хёк,,Республика Корея
Алая буква,"драма,мелодрама",Ролан Жоффе,США,1995
Алая буква,мелодрама,Вим Вендерс,"ФРГ,Испания",1973
Александра,драма,Александр Сокуров,Россия,2007
Александр. Невская битва,"исторический фильм,боевик",Игорь Калёнов,Россия,2008
Александр Попов,кинобиография,",",СССР,1949
Александр Пархоменко,Киноповесть,Леонид Луков,СССР,1942
Александр Маленький,"драма,военный",Владимир Фокин,"СССР,ГДР",1981
,,,,
Александр Невский,"киноэпопея,драма,военный,исторический","Сергей Эйзенштейн,Дмитрий Васильев",СССР,О. Ю. Шмидт
"Александр и ужасный, кошмарный, нехороший, очень плохой день","комедийный фильм,[2],[3],[…],детский фильм,экранизация",Мигель Артета,США,2014
Алголь. Трагедия силы,"фантастика,драма",Ханс Веркмайст,Германия,1920
Алекс и Эмма,"комедия,мелодрама",Роб Райнер,США,2003
Албанец,"драматический фильм,[1],[2],романтический фильм",Иоганнес Набер,,2010
Александр Великий,"пеплум,байопик",Роберт Россен,"США,Испания",1956
Алеко,фильм-опера,Сергей Сиделёв,,1953
Александр,"биографическая,драма,исторический фильм,пеплум",Оливер Стоун,,2004
Алджи-золотоискатель,"комедия,мелодрама",Эдвард Уоррен,США,1912
Алая роза,"Криминальная,драма,нуар",Умэцугу Иноуэ,Япония,
Алая буква,драма,Виктор Шёстрём,,1926
Алая буква,драматический фильм,"Джозеф В. Смайли,Джордж Лоан Такер",США,1911
Аланис,драматический фильм,Анаи Бернери,,"21 сентября,2017,22 сентября,2017,2 октября,2017,9 сентября,2017"
Алан Партридж: Альфа Отец,комедия,Деклан Лоуни,"Великобритания,Франция",
Аламо,"Драма,исторический фильм,военный фильм,вестерн",Джон Ли Хэнкок,США,2004
Аладдин и его волшебная лампа,"приключенческий фильм,комедия,семейный фильм,фэнтези",Тим Бёртон,США,1986
Аладдин,"комедия,мюзикл,фэнтези,приключения,мелодрама",Гай Ричи,США,
Алавердоба,притча,Георгий Шенгелая,СССР,1962
Акулий торнадо 5: Глобальное роение,"комедийный,научно-фантастический,фильм ужасов,фильм-катастрофа",Энтони Ферранте,,2017
Акулий торнадо 3,"комедийный,научно-фантастический,фильм ужасов,фильм-катастрофа",Энтони Ферранте,,2015
Акция,военный фильм,Владимир Шамшурин,СССР,1987
Акулы,"боевик,фильм ужасов,триллер",Боб Мисиоровски,"США,Израиль,ЮАР",1999
Акулий торнадо 4: Пробуждение,"комедийный,научно-фантастический,фильм ужасов,фильм-катастрофа",Энтони Ферранте,,2016
Акулосьминог,"ужасы,фантастика,боевик,комедия",Деклан О’Брайен,США,2010
Акулий торнадо 2: Второй по счёту,"ужасы,комедия,фантастика,трэш",Энтони Ферранте,США,2014
Ана и волки,драма,Карлос Саура,Испания,1973
Амфетамин,драма,Скад,Гонконг,2010
Амуры,Комедия,Жак Брюйер,Германия,
Амур и демон,драма,Николай Федюк,Украина,1994
Амулет,ужасы,Ромола Гарай,"Великобритания,ОАЭ",2020
Амстердам,,Дэвид Оуэн Расселл,США,2022
Анатомия падения,драма,Жюстин Трие,,2023
Ангел-мститель,"вестерн,боевик,драма",Дэвид Касс,США,2007
Ангел тьмы,"боевик,кинофантастика",Крэйг Р. Бэксли,,1990
Амундсен,"исторический,драма,приключения",Эспен Сандберг,Норвегия,2019
Ангел с ружьём,драматический фильм,"Дамиано Дамиани,[1],[2]",,1992
Ангел-истребитель,трагикомедия,Луис Бунюэль,Мексика,1962
Ангел света,"мистика,боевик,ужасы",Шейн Эббесс,Австралия,2007
Ангел-А,"мелодрама,комедия,нуар,магический реализм",Люк Бессон,Франция,2005
Ангел Русской церкви против отца всех народов,Документальное кино,Валерий Залотуха,Россия,2005
Андерсен. Жизнь без любви,"Биография,Сказка",Эльдар Рязанов,Россия,2006
Анетта,"киноновелла, экранизация",Георгий Шмованов,СССР,1966
Андрокл и лев,пеплум,", ",,1952
Андроид,технотриллер,Бобби Бурманс,Нидерланды,2013
Андроид,"фантастика,драма",Аарон Липштадт,США,1982
Андриеш,сказка,"Сергей Параджанов,Яков Базелян",СССР,1954
Андрейка,киноповесть,Николай Лебедев,СССР,1958
Андрей Рублёв,"историческая,драма",Андрей Тарковский,СССР,1966
Антимоз Ивериели,Исторический,Гиули Чохонелидзе,Грузия,2001
Антикиллер 2: Антитеррор,Боевик,Егор Михалков-Кончаловский,Россия,2003
Антикиллер Д.К.,"Боевик,Детектив",Эльдар Салаватов,Россия,2009
Антикиллер,боевик,Егор Кончаловский,Россия,2002
Антидурь,"комедия,боевик",Владимир Щегольков,Россия,2007
Антивирус,"фильм ужасов,[3],[4],антиутопический фильм,научно-фантастический фильм,биопанк", Брэндон Кроненберг ,"Канада,Франция",2012
Антенна,"фэнтезийный фильм,[2],[3],научно-фантастический фильм,драматический фильм",Эстебан Сапир,,"24 января,2007,2006,19 апреля,2007"
Антек-полицмейстер,комедия,Юлиуш Гардан,"Польша,Польша,СССР",1935
Антураж,"комедия,драма",Даг Эллин,США,2015
Антуан и Антуанетта,комедия,Жак Беккер,Франция,1947
Антропофаг,фильм ужасов,Джо Д'Амато,,1980
Антропоид,военная драма,"Шон Эллис, , , (","Чехия,Великобритания,Франция",2016
Антрацит,"социальная драма,  производственный фильм",Александр Сурин,СССР,1971
Антракт,"фэнтезийный фильм,немое кино",Рене Клер,Франция,1924
Антошу корсет погубил,комедия,Эдвард Пухальский,Российская империя,1916
Антоша Рыбкин,"военный фильм,комедия",Константин Юдин,СССР,1942
Антония: Портрет женщины,документальный,,США,1974
Антония,"драма,комедия",Марлен Горрис,"Нидерланды,Бельгия,Великобритания",1995
Антоний и Клеопатра,"короткометражный,драма",Чарльз Кент,США,1908
«Антоний и Клеопатра»,мелодрама,Чарлтон Хестон,Великобритания,1972
"Антон Шпелец, снайпер",комедия,Мартин Фрич,Чехословакия,1932
Антон Чехов,"драма,биография,исторический",Рене Фере,Франция,
Антон тут рядом,документальное кино,Любовь Аркус,Россия,2012
Антон Иванович сердится,комедия,Александр Ивановский,,1941
Антихрист,"драма,ужасы",Ларс фон Триер,,"18 мая,2009,18 ноября,2010,10 сентября,2009"
Антисекс,драма," , ","Италия,Франция",1964
Антарктическая повесть,"драма,приключения",Сергей Тарасов,СССР,1979
Антихрист,фантастическая драма,Эдвард Пухальский,Российская империя,1915
Антифауст,"мистика, драма",Георг Фризен,"Россия,Германия",
Антитела,"триллер,ужасы,драма",Кристиан Альварт,,2005
Антарктическая история,"приключенческий фильм,[1],драматический фильм","Корэёси Курахара,[1],[2]",,1983
Ансамбль,"комедия,драма,мюзикл",Ави Нешер,Израиль,1978
Анонимные романтики,романтическая комедия,Жан-Пьер Амери,"Франция,Бельгия",2010
Аноним,фильм-биография,Роланд Эммерих,"Германия,Великобритания,США",2011
Анон,"антиутопический фильм,научно-фантастический фильм,[1],кинофантастика,фильм-триллер,[1],киберпанк",Эндрю Никкол,,2018
Аннушка,драма,Борис Барнет,,1959
Аннычка,"драма,военный",Борис Ивченко,СССР,1968
Аннигиляция,"научная фантастика,фильм ужасов",Алекс Гарленд,"Великобритания,США",2018
Антебеллум,психологический триллер,"Джерард Буш , Кристофер Ренц",США,2020
Аннетт,мюзикл,Леос Каракс,"Франция,Германия,Бельгия",2021
Анна: от 6 до 18,"документальный фильм,фильм-биография,исторический фильм",Никита Михалков,"Россия,Франция",1993
Анна Тристер,Мелодрама,Леа Пул,Канада,1986
Анна свободна,Мелодрама,Венди Джо Карлтон,США,2009
Анна Политковская: семь лет на линии фронта,Документальный фильм,Мария Новикова,Нидерланды,2008
Анна Николь,биография,Киони Уоксмен,США,2007
Анна Эйдеш,"драма, экранизация",Золтан Фабри,,1958
Анна Павлова,"драма,биография,исторический,музыкальный",Эмиль Лотяну,"СССР,Великобритания,ГДР,Куба,Франция",
Анна на шее,драма,Исидор Анненский,СССР,1954
Анна Лукаста,"Фильм нуар,Мелодрама",Ирвинг Рэппер,,1949
Анна Кристи,драма,"Кларенс Браун,[1],[2]",,1930
«Анна Каренина. История Вронского»,драма,Карен Шахназаров,Россия,2017
Анна Каренина,"историческая,романтическая драма",Джо Райт,"Великобритания,США",
Анна Каренина,драма,Сергей Соловьёв,Россия,2009
Анна Каренина,"драма,любовная история",Бернард Роуз,"США,Россия,Великобритания",1997
Анна Каренина,мелодрама,"Саймон Лэнгтон, , , (",,"26 марта,1985"
«Анна Каренина»,драма,Александр Зархи,СССР,1967
Анна Каренина,"драма,мелодрама",Жюльен Дювивье,Великобритания,1948
Анна Каренина,драма,Кристиан Дюгей,,2013
Анна Каренина,мелодрама,Кларенс Браун,,1935
Анна Каренина,драма,Владимир Гардин,,1914
Анна Каренина,фильм-балет,Маргарита Пилихина,СССР,1974
Анна Каренина,"короткометражный,драма",Морис Метр,Российская империя,1911
Анна Карамазофф,Драма,Рустам Хамдамов,"СССР,Франция",1991
Анна и Элизабет,драма,Франк Висбар,Нацистская Германия,1933
Анна Бонд,"боевик,мелодрама,драма",Дуния Сури,,2012
Анна,"боевик,триллер,шпионский фильм",Люк Бессон,Франция,2019
Анна,музыкальный фильм,Пьер Коральник,Франция,1967
Анна и король,"мелодрама,драма,исторический",Энди Теннант,США,1999
Анна,"мелодрама,семейный фильм","Франк Штрекер , (, ,Frank Strecker,)",,ФРГ
Анна и Командор,мелодрама,Евгений Хринюк,СССР,1974
Анна,"постапокалипсис,антиутопия",Никколо Амманити,Италия,2021
"Анкор, ещё анкор!",драма,Пётр Тодоровский,Россия,"1992,Полторы комнаты, или Сентиментальное путешествие на родину"
Анклав,драма,Горан Радованович,"Сербия,Германия",2015
Анита О’Дэй: Жизнь джазовой певицы,документальный,,США,2007
Анима мунди,документальный фильм,Годфри Реджио,США,1992
Анискин и Фантомас,"детективный фильм,комедия", ,,
Анжель,"драматический фильм,[d]",Марсель Паньоль,,1934
"Анжелика, маркиза ангелов","мелодрама,приключения",Ариель Зейтун,Франция,2013
Анжелика и султан,"экранизация,приключенческий фильм,мелодрама",Бернар Бордери,"Франция,Италия",1968
Анжелика и король,"экранизация,приключенческий фильм,мелодрама,исторический фильм",Бернар Бордери,"Франция,Италия",1966
Анжелика в гневе,"экранизация,приключенческий фильм,мелодрама",Бернар Бордери,"Франция,Италия",1965
Анжелика — маркиза ангелов,"экранизация,приключенческий фильм,мелодрама",Бернар Бордери,"Франция,Италия",
Анечка идёт в школу,"детский, экранизация",Милан Вошмик,Чехословакия,1962
Андрей и злой чародей,"сказка,комедия",Геннадий Харлан,,
Андре,"приключения,драма,семейный фильм",Джордж Т. Миллер,США,1994
Андин. Хроники армянских путешествий,"документальный, исторический",Рубен Гини,"Армения,Китай,Индия,Кыргызстан,Великобритания,Мексика,Россия,Франция,Испания",2014
